index,gender_singular,remark,plural_form,translation,number,gender_short
1,das Thema,words that end in -MA are always NEUTER,Themen ,topic,1,N
2,das Häuschen,words that end in -CHEN are always NEUTER,Häuschen ,small house / cottage,2,N
3,das Dokument,words that end in -MENT are always NEUTER,Dokumente ,document,3,N
4,das Zentrum,words that end in -UM are always NEUTER,Zentren ,center,4,N
5,das Gesicht,words that end in -ICHT are always NEUTER,Gesichter ,face,5,N
6,das Ergibnis,words that end in -NIS are always NEUTER,Ergebnisse,result,6,N
7,das Bureau,words that end in -EAU are always NEUTER,,,7,N
8,das Training,words that end in -ING are always NEUTER,,,8,N
9,das Photo,words that end in -O are always NEUTER,Fotos,Photo,9,N
10,das Essen,NOUNS that come from Verbs,Essen,Food,10,N
11,das Ritz,"Nouns that name hotels,cafés",Ritze,Notch,11,N
12,das Blau,Nouns that name colors,Blaus,Blue,12,N
13,das A,Nouns that name letters,As,A,13,N
14,der Montag,Days of the weeks are always MASCULINE,Montage,Monday,14,M
15,der Juli,MONTHS are always MASCULINE,Julis,July,15,M
16,der Sommer,SEASONS are always MASCULINE,Sommer,Summer,16,M
17,der Euro,,Euros,Euro,17,M
18,der Wein,,Weine,Wine,18,M
19,der Mercedes,,Mercedes,Mercedes,19,M
20,der Regen,,Regen,Rain,20,M
21,der Süd,,Süden,South,21,M
22,der Rentner,ner,Rentner,Retiree,22,M
23,der Siedler,ler ,Siedler,Settler,23,M
24,der Kommunismus,ismus ,Kommunismen,Communism,24,M
25,der Motor,or,Motoren,Motor,25,M
26,der Honig,ig,,,26,M
27,der Teppich,ich,,,27,M
28,der Zwilling,ing,,,28,M
29,der Kapitalist,ist,,,29,M
30,der Informatiker,iker,,,30,M
31,der Verstand,and,,,31,M
32,der Migrant,ant,,,32,M
33,der Student,ent,,,33,M
34,der Friseur,eur,,,34,M
35,der Koffer,er,,,35,M
36,,heit,,,36,F
37,,keit,,,37,F
38,,tät,,,38,F
39,,ung,,,39,F
40,,schaft ,,,40,F
41,,ie,,,41,F
42,,ik ,,,42,F
43,,ur,,,43,F
44,das Wrack,,Wracks,Wreck,44,N
45,das Benehmen,,,Behavior,45,N
46,das Maß,,Maße,Measure,46,N
47,das Mehl,,Mehle,Flour,47,N
48,das Hirn,,Hirne,Brain,48,N
49,das Fach,,Fächer,Compartment / Subject,49,N
50,das Dach,,Dächer,Roof,50,N
51,das Gebüsch,,Gebüsche,Bush,51,N
52,das Gesetz,,Gesetze,Law,52,N
53,das Verfahren,,Verfahren,Procedure,53,N
54,das Geschenk,,Geschenke,Gift,54,N
55,das Grab,,Gräber,Grave,55,N
56,das Öl,,Öle,Oil,56,N
57,das Lokal,,Lokale,Restaurant / Pub,57,N
58,das Urteil,,Urteile,Judgment,58,N
59,das Gewehr,,Gewehre,Rifle,59,N
60,das Gleis,,Gleise,Track,60,N
61,das Ziel,,Ziele,Goal / Target,61,N
62,das Viertel,,Viertel,Quarter,62,N
63,das Geschick,,Geschicke,Skill / Dexterity,63,N
64,das Kinn,,Kinne,Chin,64,N
65,das Eis,,Eise,Ice / Ice Cream,65,N
66,das Gelenk,,Gelenke,Joint,66,N
67,das Loch,,Löcher,Hole,67,N
68,das Rad,,Räder,Wheel,68,N
69,das Versteck,,Verstecke,Hiding place,69,N
70,das Siegel,,Siegel,Seal,70,N
71,das Feld,,Felder,Field,71,N
72,das Rätsel,,Rätsel,Puzzle / Riddle,72,N
73,das Schicksal,,Schicksale,Fate / Destiny,73,N
74,das Gegenteil,,Gegenteile,Opposite,74,N
75,das Getränk,,Getränke,Beverage / Drink,75,N
76,das Beil,,Beile,Axe,76,N
77,das Holz,,Hölzer,Wood,77,N
78,das Stück,,Stücke,Piece,78,N
79,das Gefühl,,Gefühle,Feeling,79,N
80,das Haus,,Häuser,House,80,N
81,das Geld,,Gelder,Money,81,N
82,das Bild,,Bilder,Picture / Image,82,N
83,das Schild,,Schilder,Sign,83,N
84,das Land,,Länder,Country / Land,84,N
85,das Spiel,,Spiele,Game,85,N
86,das Werk,,Werke,Work,86,N
87,das Mittel,,Mittel,Means,87,N
88,das Tuch,,Tücher,Cloth,88,N
89,das Glied,,Glieder,Limb,89,N
90,das Leid,,Leiden,Suffering,90,N
