index,example,translation
1,Das Thema der Diskussion war sehr interessant.,The topic of the discussion was very interesting.
2,Wir haben ein kleines Häuschen auf dem Land.,We have a small cottage in the countryside.
3,Bitte bringen Sie alle erforderlichen Dokumente mit.,Please bring all the required documents.
4,Das Zentrum der Stadt ist sehr belebt.,The center of the city is very lively.
5,Sie hat ein hübsches Gesicht.,She has a pretty face.
6,Das Ergebnis der Prüfung war besser als erwartet.,The result of the exam was better than expected.
7,Das Büro befindet sich im zweiten Stock.,The office is located on the second floor.
8,Er absolviert regelmäßig ein intensives Training.,He regularly undergoes intensive training.
9,Kannst du ein Foto von uns machen?,Can you take a photo of us?
10,Das Essen im Restaurant war köstlich.,The food at the restaurant was delicious.
